State,Year,Amount
NSW,1/06/2007,475601
NSW,1/06/2008,485968
NSW,1/06/2009,493701
NSW,1/06/2010,500555
NSW,1/06/2011,510815
NSW,1/06/2012,523245
NSW,1/06/2013,534604
NSW,1/06/2014,546710
NSW,1/06/2015,561807
NSW,1/06/2016,582845
NSW,1/06/2017,598969
NSW,1/06/2018,613142
NSW,1/06/2019,629117
VIC,1/06/2007,338689
VIC,1/06/2008,351024
VIC,1/06/2009,357970
VIC,1/06/2010,360958
VIC,1/06/2011,371607
VIC,1/06/2012,380422
VIC,1/06/2013,383778
VIC,1/06/2014,391501
VIC,1/06/2015,402514
VIC,1/06/2016,416614
VIC,1/06/2017,432526
VIC,1/06/2018,447294
VIC,1/06/2019,461248
QLD,1/06/2007,272353
QLD,1/06/2008,285516
QLD,1/06/2009,289202
QLD,1/06/2010,295005
QLD,1/06/2011,297652
QLD,1/06/2012,314938
QLD,1/06/2013,323901
QLD,1/06/2014,330903
QLD,1/06/2015,333738
QLD,1/06/2016,341765
QLD,1/06/2017,350440
QLD,1/06/2018,364215
QLD,1/06/2019,367468
SA,1/06/2007,89868
SA,1/06/2008,94156
SA,1/06/2009,96770
SA,1/06/2010,98685
SA,1/06/2011,100924
SA,1/06/2012,101964
SA,1/06/2013,102720
SA,1/06/2014,102823
SA,1/06/2015,103932
SA,1/06/2016,104498
SA,1/06/2017,106110
SA,1/06/2018,108639
SA,1/06/2019,109843
WA,1/06/2007,187943
WA,1/06/2008,197558
WA,1/06/2009,202131
WA,1/06/2010,213988
WA,1/06/2011,223822
WA,1/06/2012,242464
WA,1/06/2013,257239
WA,1/06/2014,271885
WA,1/06/2015,278063
WA,1/06/2016,280621
WA,1/06/2017,277044
WA,1/06/2018,283702
WA,1/06/2019,288225
TAS,1/06/2007,25303
TAS,1/06/2008,26405
TAS,1/06/2009,27150
TAS,1/06/2010,27350
TAS,1/06/2011,28031
TAS,1/06/2012,28607
TAS,1/06/2013,28436
TAS,1/06/2014,28776
TAS,1/06/2015,29092
TAS,1/06/2016,29654
TAS,1/06/2017,30019
TAS,1/06/2018,30975
TAS,1/06/2019,31993
NT,1/06/2007,18672
NT,1/06/2008,18869
NT,1/06/2009,20477
NT,1/06/2010,20354
NT,1/06/2011,20963
NT,1/06/2012,21790
NT,1/06/2013,23344
NT,1/06/2014,23599
NT,1/06/2015,23878
NT,1/06/2016,24346
NT,1/06/2017,24698
NT,1/06/2018,25149
NT,1/06/2019,24830
ACT,1/06/2007,26667
ACT,1/06/2008,27860
ACT,1/06/2009,28607
ACT,1/06/2010,29917
ACT,1/06/2011,30814
ACT,1/06/2012,32112
ACT,1/06/2013,33181
ACT,1/06/2014,33320
ACT,1/06/2015,34220
ACT,1/06/2016,35692
ACT,1/06/2017,37077
ACT,1/06/2018,38510
ACT,1/06/2019,39956
